algorithm,params,mode,pairs,sample_size,pair_index,seed,estimate_merge,estimate_serial,delta_merge_serial_abs,delta_merge_serial_rel
Probabilistic Counting,L=8,merge,25,10000000,0,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,1,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,2,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,3,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,4,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,5,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,6,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,7,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,8,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,9,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,10,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,11,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,12,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,13,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,14,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,15,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,16,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,17,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,18,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,19,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,20,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,21,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,22,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,23,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,24,21041998,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,0,42,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,1,42,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,2,42,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,3,42,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,4,42,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,5,42,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,6,42,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,7,42,330,330,0,0
Probabilistic Counting,L=8,merge,25,10000000,8,42,330,330,0,0
